ProximityToWaterBody,Elevation,Rainfall,Vegetation,Urbanization,Soil,Drainage,Slope,StormFrequency,Wetlands,Deforestation,Season,Infrastructure,Encroachment,FloodRisk
Very Far from Dam,268,376,None,Medium,Loamy,Moderate,Flat,Rare,Present,Severe,Transition,Weak,None,Low
Moderately Close to River,179,21,Dense,Low,Loamy,Moderate,Steep,Occasional,Absent,None,Dry,Weak,Moderate,Low
Close to Lagoon,0,180,Sparse,High,Rocky,Good,Flat,Rare,Absent,None,Transition,Moderate,Moderate,Low
Very Far from Dam,157,481,Sparse,Medium,Rocky,Poor,Moderate,Occasional,Absent,Moderate,Rainy,Weak,Moderate,Medium
Close to River,219,444,Sparse,Low,Clay,Moderate,Steep,Rare,Absent,Severe,Transition,Weak,Moderate,Low
Very Far from Lagoon,292,483,None,High,Rocky,Moderate,Flat,Frequent,Present,None,Dry,Weak,Moderate,Medium
Close to Dam,137,951,Sparse,High,Sandy,Good,Steep,Rare,Present,None,Rainy,Strong,None,Low
Close to River,76,443,Dense,Medium,Loamy,Moderate,Steep,Occasional,Absent,Severe,Dry,Moderate,Severe,Medium
Moderately Close to Lagoon,23,912,Moderate,High,Sandy,Moderate,Flat,Occasional,Absent,Moderate,Rainy,Moderate,None,Medium
Moderately Close to River,181,46,Sparse,Medium,Loamy,Moderate,Steep,Frequent,Present,None,Transition,Strong,None,Low
Far from River,10,872,Dense,Low,Sandy,Poor,Flat,Frequent,Absent,Severe,Transition,Strong,Moderate,Medium
Moderately Close to Stream,241,475,Sparse,Medium,Loamy,Poor,Steep,Occasional,Absent,None,Rainy,Weak,None,Medium
Far from Lake,271,485,Sparse,High,Sandy,Poor,Steep,Rare,Absent,Moderate,Dry,Moderate,Severe,Low
Very Close to River,33,706,Dense,Medium,Clay,Good,Moderate,Rare,Present,Moderate,Dry,Moderate,None,Low
Very Far from Lake,229,562,None,High,Loamy,Good,Steep,Occasional,Present,Moderate,Dry,Moderate,None,Low
Far from River,34,58,Dense,High,Loamy,Good,Moderate,Occasional,Present,Severe,Rainy,Strong,Moderate,Low
Very Far from Dam,53,500,None,High,Sandy,Good,Steep,Occasional,Present,Moderate,Transition,Strong,Moderate,Low
Moderately Close to River,38,279,Sparse,High,Sandy,Good,Flat,Occasional,Absent,None,Transition,Weak,None,Medium
Moderately Close to Stream,82,674,None,High,Rocky,Good,Moderate,Frequent,Absent,Severe,Rainy,Moderate,None,Medium
Close to Lake,177,310,Sparse,Medium,Sandy,Good,Moderate,Rare,Present,Moderate,Rainy,Strong,Severe,Low
Moderately Close to River,62,12,Sparse,High,Rocky,Moderate,Moderate,Frequent,Present,Severe,Transition,Weak,Severe,Medium
Far from Lagoon,142,111,None,Medium,Loamy,Moderate,Steep,Rare,Absent,Moderate,Transition,Moderate,Moderate,Low
Moderately Close to River,122,374,None,Low,Loamy,Good,Steep,Rare,Present,Severe,Dry,Weak,Severe,Low
Very Close to Lake,44,474,Moderate,Medium,Rocky,Good,Steep,Rare,Present,None,Transition,Weak,Severe,Low
Very Far from Lake,234,744,Moderate,Low,Sandy,Moderate,Steep,Occasional,Present,Moderate,Rainy,Weak,None,Low
Very Close to Dam,220,368,Dense,Low,Clay,Good,Steep,Frequent,Present,Severe,Transition,Strong,Moderate,Low
Far from Lake,282,546,Sparse,High,Rocky,Poor,Steep,Frequent,Present,Severe,Dry,Moderate,Severe,Medium
Close to Stream,10,10,None,Medium,Rocky,Poor,Steep,Frequent,Present,None,Rainy,Weak,None,Medium
Very Close to Stream,233,826,Dense,Low,Clay,Good,Steep,Rare,Absent,None,Rainy,Strong,None,Low
Very Far from Lagoon,133,8,Dense,High,Clay,Good,Moderate,Rare,Present,None,Rainy,Strong,Moderate,Low
Very Far from Lagoon,66,566,Sparse,Low,Sandy,Good,Steep,Rare,Absent,Severe,Rainy,Strong,Moderate,Low
Far from Lake,94,261,Sparse,Low,Sandy,Moderate,Moderate,Rare,Absent,Severe,Rainy,Strong,Moderate,Low
Moderately Close to Lake,210,31,Sparse,Medium,Clay,Good,Flat,Occasional,Absent,Moderate,Transition,Weak,Moderate,Low
Far from Stream,174,87,Dense,Low,Loamy,Poor,Moderate,Rare,Absent,None,Rainy,Strong,Moderate,Low
Very Close to River,53,258,Moderate,High,Loamy,Moderate,Flat,Occasional,Present,Severe,Dry,Moderate,None,Medium
Close to Lake,13,464,Dense,Medium,Rocky,Good,Moderate,Rare,Present,Moderate,Transition,Moderate,Moderate,Low
Close to Lake,152,252,None,High,Loamy,Moderate,Flat,Frequent,Absent,Moderate,Rainy,Weak,Severe,High
Moderately Close to Dam,10,297,Dense,High,Clay,Moderate,Steep,Occasional,Present,Severe,Dry,Strong,Severe,Low
Very Close to River,133,247,Sparse,Low,Clay,Poor,Moderate,Rare,Present,None,Dry,Moderate,Moderate,Low
Very Close to Lake,59,111,Moderate,Medium,Loamy,Poor,Steep,Occasional,Absent,Severe,Transition,Strong,None,Low
Moderately Close to Dam,6,563,None,Medium,Rocky,Poor,Flat,Frequent,Present,Moderate,Dry,Moderate,Severe,High
Very Close to Lagoon,49,361,Dense,Medium,Loamy,Moderate,Moderate,Rare,Present,Moderate,Dry,Weak,Severe,Medium
Moderately Close to Stream,263,33,None,Low,Clay,Poor,Steep,Occasional,Absent,None,Dry,Strong,None,Low
Very Close to River,69,209,Dense,Medium,Clay,Moderate,Steep,Rare,Absent,Severe,Transition,Weak,Moderate,Medium
Far from Lake,284,247,None,High,Loamy,Poor,Moderate,Occasional,Absent,Severe,Rainy,Strong,Severe,Medium
Moderately Close to Lake,51,110,Dense,High,Rocky,Good,Moderate,Rare,Present,Severe,Transition,Moderate,Severe,Low
Close to Stream,235,66,None,Low,Sandy,Good,Moderate,Rare,Present,Severe,Rainy,Strong,Moderate,Low
Far from Lagoon,276,461,Moderate,Low,Rocky,Poor,Moderate,Rare,Absent,Moderate,Transition,Moderate,None,Low
Close to Stream,51,39,Sparse,Medium,Clay,Moderate,Steep,Rare,Present,Moderate,Rainy,Weak,Severe,Medium
Very Far from Lake,15,309,None,Medium,Sandy,Poor,Moderate,Rare,Absent,None,Transition,Weak,None,Medium
Close to Lake,158,887,Sparse,High,Rocky,Good,Steep,Frequent,Absent,None,Transition,Weak,Severe,Medium
Moderately Close to Lake,29,462,Sparse,High,Loamy,Moderate,Moderate,Occasional,Absent,Severe,Rainy,Strong,Moderate,High
Far from Lagoon,102,526,Sparse,High,Rocky,Poor,Flat,Rare,Present,Moderate,Dry,Weak,Moderate,Medium
Very Far from Lagoon,69,299,None,Low,Sandy,Good,Flat,Rare,Absent,Moderate,Rainy,Moderate,Severe,Low
Moderately Close to Dam,220,819,Dense,High,Rocky,Poor,Steep,Frequent,Present,None,Transition,Weak,Severe,Medium
Far from Dam,191,168,Sparse,Medium,Loamy,Good,Steep,Occasional,Present,Moderate,Rainy,Strong,None,Low
Very Close to River,219,662,Sparse,Low,Clay,Poor,Flat,Rare,Present,Severe,Rainy,Moderate,None,Medium
Very Far from Stream,259,465,Sparse,Medium,Rocky,Good,Moderate,Rare,Present,Severe,Transition,Weak,None,Low
Very Close to River,264,210,Moderate,Medium,Loamy,Poor,Flat,Rare,Present,None,Rainy,Moderate,Severe,Low
Moderately Close to Stream,268,340,Moderate,High,Sandy,Moderate,Flat,Frequent,Present,None,Rainy,Strong,Severe,Medium
Close to Stream,190,640,None,Low,Loamy,Good,Moderate,Frequent,Present,None,Dry,Strong,Severe,Low
Very Close to Stream,269,835,Sparse,High,Rocky,Moderate,Flat,Rare,Present,Severe,Rainy,Moderate,Moderate,Medium
Moderately Close to River,134,149,Dense,High,Sandy,Good,Flat,Occasional,Absent,Moderate,Dry,Strong,Moderate,Low
Moderately Close to Stream,263,359,Moderate,Low,Loamy,Good,Moderate,Rare,Present,Moderate,Transition,Moderate,Moderate,None
Far from Lake,146,641,Sparse,Medium,Rocky,Poor,Steep,Frequent,Absent,None,Transition,Moderate,Severe,Medium
Very Far from Lake,246,612,Sparse,High,Sandy,Moderate,Flat,Rare,Absent,Severe,Transition,Strong,Severe,Medium
Very Far from River,185,688,Moderate,Low,Sandy,Good,Flat,Frequent,Absent,Moderate,Transition,Strong,None,Low
Very Far from Dam,65,973,None,Low,Clay,Poor,Flat,Frequent,Present,Severe,Transition,Weak,Moderate,Medium
Very Close to Lake,298,198,Sparse,Low,Loamy,Moderate,Moderate,Occasional,Present,Severe,Transition,Weak,Severe,Medium
Far from River,3,535,Sparse,Low,Sandy,Good,Flat,Rare,Absent,Severe,Dry,Strong,None,Low
Very Far from Lagoon,173,332,Sparse,Medium,Clay,Poor,Flat,Occasional,Present,Severe,Rainy,Weak,Severe,Medium
Moderately Close to Stream,23,999,Sparse,High,Rocky,Good,Steep,Rare,Absent,None,Dry,Strong,Moderate,Low
Very Close to Lake,283,482,Moderate,Low,Loamy,Moderate,Flat,Rare,Present,None,Dry,Weak,None,Low
Very Far from River,185,106,Dense,Medium,Rocky,Good,Moderate,Occasional,Present,Moderate,Rainy,Moderate,Severe,Low
Moderately Close to Dam,229,990,None,Low,Sandy,Good,Moderate,Frequent,Absent,None,Dry,Moderate,Moderate,Low
Very Close to River,161,515,Sparse,Low,Clay,Moderate,Steep,Frequent,Absent,Severe,Rainy,Moderate,Severe,Medium
Very Close to Lake,241,80,Dense,Medium,Sandy,Moderate,Flat,Frequent,Present,None,Rainy,Strong,None,Low
Very Close to Lagoon,286,47,None,Low,Loamy,Good,Steep,Occasional,Present,Moderate,Rainy,Moderate,Moderate,Low
Very Close to Lagoon,171,669,Sparse,Low,Sandy,Poor,Moderate,Frequent,Present,None,Transition,Strong,None,Low
Close to Dam,227,191,Sparse,Medium,Rocky,Moderate,Flat,Occasional,Present,Moderate,Transition,Weak,None,Low
Moderately Close to Stream,11,250,Moderate,High,Clay,Moderate,Flat,Occasional,Absent,Moderate,Rainy,Weak,Severe,Medium
Far from Lake,298,663,Dense,Low,Rocky,Good,Moderate,Rare,Present,Moderate,Transition,Moderate,Severe,Low
Very Far from Dam,233,471,None,Low,Clay,Good,Steep,Frequent,Absent,None,Transition,Strong,Severe,Low
Very Far from River,224,820,None,Medium,Clay,Poor,Steep,Frequent,Present,None,Rainy,Weak,Moderate,Medium
Very Close to Dam,100,522,Sparse,Low,Loamy,Poor,Steep,Occasional,Present,None,Rainy,Strong,None,Low
Moderately Close to Stream,194,492,Dense,Medium,Rocky,Poor,Moderate,Frequent,Absent,Severe,Dry,Weak,Moderate,Medium
Very Close to Dam,217,256,Moderate,Low,Clay,Poor,Moderate,Frequent,Absent,Severe,Rainy,Strong,Moderate,Medium
Close to Lake,91,954,None,Low,Clay,Good,Flat,Rare,Present,Moderate,Rainy,Strong,None,Medium
Very Far from River,51,730,Sparse,Medium,Clay,Poor,Flat,Rare,Absent,Severe,Dry,Moderate,None,Medium
Moderately Close to Dam,235,728,Dense,Medium,Clay,Moderate,Flat,Rare,Absent,Severe,Transition,Moderate,Moderate,Medium
Moderately Close to Stream,189,555,Sparse,Medium,Loamy,Good,Flat,Rare,Absent,None,Transition,Moderate,Severe,Low
Very Far from Lagoon,158,27,Moderate,Medium,Sandy,Poor,Moderate,Rare,Absent,Severe,Transition,Weak,None,Low
Close to Stream,79,627,None,Medium,Rocky,Moderate,Flat,Occasional,Present,None,Transition,Strong,Severe,Medium
Far from Lagoon,250,283,Moderate,Medium,Rocky,Good,Moderate,Frequent,Absent,Severe,Dry,Weak,None,Low
Very Close to Stream,149,981,Dense,Medium,Loamy,Moderate,Steep,Occasional,Absent,Moderate,Dry,Moderate,Severe,Medium
Very Close to Lagoon,224,150,Sparse,Medium,Loamy,Poor,Steep,Occasional,Absent,None,Rainy,Moderate,Moderate,Low
Far from Lake,60,794,Sparse,Medium,Loamy,Poor,Flat,Occasional,Absent,None,Transition,Moderate,None,Medium
Close to Lagoon,155,865,Sparse,Low,Rocky,Good,Flat,Occasional,Present,None,Transition,Moderate,Severe,Low
Far from Lake,16,947,None,Low,Clay,Poor,Moderate,Rare,Present,Moderate,Transition,Weak,Moderate,Medium
Close to Dam,76,139,Moderate,High,Loamy,Poor,Flat,Frequent,Present,Severe,Dry,Strong,None,Medium
Far from River,233,304,None,Medium,Sandy,Poor,Flat,Frequent,Present,None,Transition,Moderate,Severe,Low
Close to Lagoon,236,641,Dense,High,Rocky,Poor,Moderate,Occasional,Absent,Severe,Rainy,Strong,Severe,Medium
Moderately Close to Lake,134,649,Sparse,Low,Clay,Poor,Steep,Frequent,Absent,None,Dry,Strong,Moderate,Low
Far from Stream,281,677,Moderate,Low,Loamy,Poor,Steep,Rare,Absent,None,Transition,Strong,Severe,Low
Moderately Close to River,161,712,Dense,Medium,Sandy,Poor,Flat,Rare,Absent,None,Transition,Moderate,Moderate,Low
Very Far from River,210,198,Moderate,High,Rocky,Good,Moderate,Rare,Absent,Severe,Transition,Moderate,Severe,Low
Far from River,270,602,Sparse,Medium,Clay,Moderate,Moderate,Frequent,Absent,Moderate,Rainy,Weak,None,Medium
Close to Stream,126,688,Dense,High,Rocky,Good,Moderate,Frequent,Absent,Severe,Rainy,Strong,Moderate,Medium
Very Close to River,251,783,Sparse,Medium,Loamy,Poor,Moderate,Frequent,Present,None,Dry,Moderate,Moderate,Medium
Very Close to River,208,781,Sparse,High,Rocky,Poor,Moderate,Frequent,Present,Severe,Transition,Weak,Moderate,High
Very Close to Stream,0,518,Sparse,Medium,Loamy,Poor,Flat,Occasional,Present,Severe,Transition,Strong,Moderate,Medium
Close to Lake,49,107,Dense,Medium,Rocky,Good,Flat,Rare,Present,None,Transition,Weak,Moderate,Low
Very Far from Dam,141,386,None,High,Sandy,Moderate,Steep,Frequent,Absent,Severe,Transition,Strong,None,Medium
Far from River,278,568,None,Medium,Sandy,Poor,Steep,Frequent,Absent,None,Transition,Weak,None,Low
Close to Stream,209,150,None,Low,Loamy,Good,Moderate,Rare,Present,Severe,Dry,Weak,None,Low
Moderately Close to Dam,242,904,Dense,Medium,Sandy,Moderate,Flat,Frequent,Absent,Severe,Dry,Weak,None,Medium
Very Far from Stream,9,923,Moderate,Low,Clay,Good,Flat,Occasional,Present,None,Transition,Strong,Moderate,Low
Moderately Close to Stream,216,856,Sparse,Low,Rocky,Poor,Steep,Occasional,Absent,Severe,Transition,Weak,Moderate,Medium
Very Far from Lake,81,509,Sparse,Medium,Sandy,Poor,Flat,Occasional,Absent,Moderate,Rainy,Weak,Severe,High
Very Far from Lake,246,858,Sparse,Medium,Clay,Good,Moderate,Occasional,Present,None,Transition,Weak,Severe,Low
Far from Stream,151,563,Moderate,Low,Loamy,Good,Flat,Occasional,Present,None,Rainy,Moderate,Moderate,Low
Far from Lake,141,1000,Moderate,High,Clay,Good,Flat,Rare,Absent,Severe,Transition,Strong,Severe,Medium
Moderately Close to Lagoon,25,740,None,Medium,Loamy,Moderate,Flat,Occasional,Present,Moderate,Dry,Strong,Moderate,Medium
Very Close to Lake,239,294,Dense,Low,Rocky,Poor,Steep,Frequent,Absent,Moderate,Rainy,Weak,Severe,Medium
Very Far from Dam,81,419,None,Low,Rocky,Good,Steep,Rare,Present,Severe,Transition,Strong,None,Low
Very Far from Lake,38,157,Moderate,High,Clay,Moderate,Flat,Frequent,Present,Moderate,Transition,Strong,Severe,Medium
Far from Lagoon,297,270,Dense,High,Clay,Moderate,Moderate,Rare,Present,None,Dry,Weak,Moderate,Low
Very Far from Lagoon,110,851,Dense,Medium,Sandy,Poor,Moderate,Occasional,Present,Moderate,Dry,Strong,None,Low
Very Far from Lagoon,115,884,Moderate,Medium,Loamy,Moderate,Moderate,Frequent,Absent,Moderate,Rainy,Strong,None,Medium
Very Far from River,286,410,Moderate,Medium,Clay,Moderate,Steep,Rare,Present,Moderate,Dry,Weak,None,Low
Very Far from Lagoon,195,66,Dense,High,Rocky,Good,Moderate,Occasional,Present,Moderate,Transition,Strong,Severe,Low
Very Far from Lagoon,282,951,Sparse,High,Sandy,Good,Moderate,Frequent,Absent,Moderate,Transition,Weak,Moderate,Medium
Very Close to Dam,203,825,Moderate,Medium,Rocky,Good,Flat,Rare,Absent,None,Rainy,Moderate,None,Low
Very Close to Stream,12,40,Sparse,Medium,Loamy,Moderate,Flat,Occasional,Present,Moderate,Rainy,Moderate,None,Medium
Very Close to Lagoon,247,105,None,Medium,Sandy,Good,Flat,Rare,Present,Moderate,Rainy,Moderate,None,Low
Very Close to Dam,219,0,Sparse,Low,Loamy,Moderate,Moderate,Rare,Present,Moderate,Dry,Strong,Severe,Low
Very Far from Stream,73,634,Moderate,Medium,Clay,Poor,Steep,Frequent,Present,Moderate,Dry,Moderate,Moderate,Low
Far from Dam,147,378,None,Low,Loamy,Poor,Flat,Rare,Absent,Moderate,Rainy,Strong,Severe,Medium
Far from Lake,104,852,None,Medium,Rocky,Moderate,Flat,Frequent,Absent,None,Dry,Strong,None,Medium
Far from Lake,80,639,Sparse,High,Loamy,Poor,Flat,Rare,Present,Moderate,Dry,Weak,Severe,Medium
Very Far from Lake,150,861,Moderate,High,Sandy,Poor,Flat,Occasional,Present,Severe,Dry,Strong,Severe,Medium
Moderately Close to Lagoon,227,286,Sparse,Medium,Sandy,Moderate,Flat,Rare,Absent,Moderate,Dry,Moderate,None,Low
Very Far from River,78,289,None,Low,Loamy,Poor,Moderate,Occasional,Absent,Severe,Rainy,Weak,None,Medium
Very Close to Lake,249,744,None,Medium,Clay,Moderate,Steep,Frequent,Absent,None,Transition,Moderate,None,Medium
Close to River,241,86,Sparse,Medium,Clay,Good,Steep,Occasional,Present,Severe,Rainy,Weak,Moderate,Low
Moderately Close to Lake,289,327,Moderate,Medium,Sandy,Good,Steep,Occasional,Present,Moderate,Rainy,Strong,Moderate,Low
Moderately Close to Dam,168,703,Moderate,High,Sandy,Good,Flat,Occasional,Absent,Moderate,Rainy,Strong,Severe,Medium
Close to Dam,282,526,Sparse,Low,Rocky,Moderate,Moderate,Frequent,Present,Moderate,Transition,Weak,Severe,Medium
Close to River,6,756,Sparse,Medium,Rocky,Good,Flat,Rare,Present,Moderate,Rainy,Moderate,Moderate,Medium
Close to Lagoon,104,72,Moderate,Medium,Sandy,Poor,Flat,Frequent,Present,None,Rainy,Weak,Moderate,Medium
Very Far from Lagoon,58,718,None,High,Clay,Moderate,Moderate,Rare,Present,None,Dry,Strong,None,Low
Close to River,235,820,Sparse,High,Rocky,Poor,Moderate,Rare,Absent,Moderate,Dry,Weak,Moderate,Medium
Close to River,83,362,Moderate,Medium,Sandy,Moderate,Steep,Rare,Absent,Moderate,Dry,Weak,Moderate,Low
Close to Lake,292,528,Moderate,Low,Sandy,Moderate,Steep,Occasional,Present,None,Rainy,Weak,Moderate,Low
Very Far from River,249,858,Dense,High,Rocky,Good,Steep,Frequent,Absent,Severe,Dry,Weak,Severe,Medium
Far from River,125,466,Sparse,High,Clay,Good,Moderate,Rare,Present,Moderate,Dry,Moderate,Moderate,Low
Very Close to Lake,64,101,Dense,High,Sandy,Poor,Moderate,Rare,Absent,Severe,Rainy,Weak,Moderate,Medium
Very Far from Lake,298,258,Dense,High,Sandy,Good,Flat,Rare,Present,Moderate,Transition,Strong,None,Low
Moderately Close to Lake,118,222,None,Low,Rocky,Moderate,Moderate,Frequent,Present,Moderate,Dry,Moderate,Severe,Medium
Very Close to Lagoon,119,196,Moderate,Low,Clay,Poor,Steep,Frequent,Absent,Moderate,Rainy,Moderate,Moderate,Medium
Far from Dam,270,397,Dense,High,Clay,Moderate,Steep,Frequent,Present,None,Transition,Strong,Moderate,Low
Very Far from Stream,244,914,None,Low,Rocky,Good,Steep,Frequent,Absent,Severe,Dry,Moderate,Moderate,Low
Moderately Close to Lagoon,189,680,Sparse,High,Rocky,Poor,Moderate,Frequent,Present,Moderate,Rainy,Strong,Moderate,Medium
Very Close to River,197,163,Sparse,Medium,Loamy,Good,Flat,Frequent,Present,Severe,Dry,Strong,Severe,Medium
Very Close to Stream,100,689,Dense,Low,Clay,Poor,Steep,Occasional,Absent,Severe,Dry,Moderate,None,Low
Moderately Close to Dam,37,376,Sparse,Low,Clay,Moderate,Flat,Occasional,Present,None,Transition,Moderate,Severe,Low
Very Far from Dam,140,281,Sparse,Medium,Clay,Moderate,Steep,Rare,Absent,None,Rainy,Weak,Moderate,Low
Very Far from Dam,201,229,Dense,High,Clay,Moderate,Flat,Rare,Absent,None,Transition,Weak,None,Low
Very Close to Dam,136,899,None,High,Loamy,Moderate,Moderate,Rare,Absent,Severe,Rainy,Strong,Severe,High
Very Far from River,265,962,Moderate,Low,Clay,Poor,Steep,Occasional,Present,None,Rainy,Strong,Severe,Low
Moderately Close to Lake,24,524,Dense,High,Loamy,Good,Flat,Rare,Present,None,Dry,Weak,Severe,Medium
Very Close to Stream,90,751,Dense,High,Clay,Poor,Flat,Occasional,Present,None,Rainy,Strong,Moderate,Medium
Far from River,39,93,Sparse,High,Loamy,Good,Flat,Rare,Present,Moderate,Transition,Weak,Severe,Medium
Very Far from Lake,120,292,Sparse,High,Clay,Moderate,Steep,Frequent,Absent,Moderate,Dry,Strong,Severe,Medium
Close to Lake,169,539,None,High,Clay,Moderate,Moderate,Frequent,Absent,Moderate,Transition,Moderate,None,Medium
Very Close to Lake,200,811,Dense,Medium,Loamy,Poor,Flat,Frequent,Absent,None,Dry,Strong,Moderate,Medium
Very Far from Lagoon,221,991,None,Medium,Sandy,Good,Flat,Frequent,Present,Moderate,Dry,Moderate,None,Low
Very Close to Lagoon,47,402,Moderate,High,Rocky,Poor,Flat,Rare,Present,Severe,Dry,Weak,None,Medium
Very Close to Stream,72,526,Sparse,Low,Rocky,Good,Steep,Rare,Present,Severe,Transition,Strong,None,Low
Very Far from Lagoon,26,948,None,Low,Rocky,Good,Flat,Frequent,Present,Moderate,Dry,Moderate,None,Medium
Very Far from Stream,217,715,None,Medium,Loamy,Moderate,Flat,Rare,Absent,Severe,Dry,Strong,Severe,Medium
Moderately Close to Lake,278,867,None,Low,Clay,Moderate,Flat,Occasional,Present,Severe,Transition,Moderate,Moderate,Medium
Very Close to Stream,75,630,Dense,Low,Rocky,Moderate,Flat,Occasional,Absent,Severe,Dry,Moderate,Severe,Medium
Far from Dam,94,600,Sparse,Low,Sandy,Good,Steep,Occasional,Absent,Moderate,Rainy,Strong,Severe,Low
Very Far from Lake,33,275,Sparse,High,Clay,Poor,Steep,Rare,Present,Moderate,Dry,Moderate,Moderate,Low
Far from Dam,40,583,None,Low,Rocky,Moderate,Moderate,Rare,Present,Severe,Dry,Weak,Severe,Medium
Very Far from Lagoon,60,639,Moderate,Low,Rocky,Moderate,Moderate,Rare,Absent,Moderate,Dry,Strong,Severe,Low
Very Far from Lagoon,85,485,Dense,Low,Clay,Poor,Flat,Frequent,Absent,Moderate,Dry,Strong,Severe,Medium
Very Far from Stream,146,733,Sparse,Medium,Rocky,Poor,Steep,Rare,Present,Moderate,Dry,Weak,None,Medium
Moderately Close to Lagoon,255,792,None,High,Loamy,Moderate,Flat,Rare,Absent,None,Transition,Weak,Moderate,Medium
Very Far from River,72,864,Moderate,Low,Loamy,Good,Moderate,Frequent,Absent,None,Dry,Weak,Moderate,Low
Far from Lake,111,922,None,High,Clay,Poor,Flat,Rare,Absent,None,Rainy,Weak,Severe,High
Far from Stream,43,295,Moderate,High,Loamy,Good,Moderate,Frequent,Present,None,Dry,Moderate,None,Low
Very Close to River,49,232,Moderate,High,Loamy,Poor,Flat,Rare,Present,Severe,Dry,Weak,Moderate,Medium
Moderately Close to Stream,142,410,Dense,Low,Loamy,Poor,Flat,Occasional,Present,Severe,Dry,Moderate,Severe,Medium
Close to Dam,109,346,Sparse,Medium,Clay,Good,Steep,Frequent,Present,Severe,Dry,Strong,Severe,Low
Moderately Close to Dam,47,423,None,Medium,Sandy,Good,Steep,Rare,Absent,Severe,Transition,Weak,Severe,Medium
Close to Lake,263,536,Dense,High,Rocky,Poor,Steep,Frequent,Present,Severe,Rainy,Weak,Moderate,Medium
Very Close to Lagoon,245,700,Sparse,Low,Rocky,Moderate,Steep,Rare,Absent,Severe,Rainy,Moderate,Moderate,Medium
Far from Lake,138,392,Sparse,Medium,Loamy,Moderate,Flat,Frequent,Present,Moderate,Rainy,Weak,Moderate,Medium
Very Close to Dam,246,904,Moderate,Medium,Clay,Poor,Flat,Rare,Absent,None,Dry,Moderate,Severe,Medium
Close to Lake,31,240,Sparse,Low,Rocky,Poor,Moderate,Rare,Present,Moderate,Rainy,Moderate,None,Medium
Close to Stream,124,503,None,High,Rocky,Moderate,Steep,Rare,Present,None,Rainy,Weak,Severe,Medium
Very Far from River,195,45,Sparse,Medium,Clay,Poor,Steep,Rare,Present,Severe,Transition,Moderate,None,Low
Far from River,125,916,Dense,Medium,Rocky,Good,Flat,Rare,Absent,Moderate,Dry,Weak,None,Low
Very Close to River,292,17,Moderate,Medium,Clay,Moderate,Moderate,Rare,Absent,Moderate,Transition,Moderate,Severe,Low
Close to Dam,162,25,Moderate,Low,Loamy,Good,Moderate,Frequent,Present,None,Rainy,Strong,Severe,Low
Far from Lagoon,218,453,Moderate,Medium,Sandy,Good,Steep,Frequent,Present,None,Dry,Strong,None,None
Very Far from River,105,158,Dense,Medium,Sandy,Good,Flat,Rare,Present,Moderate,Rainy,Strong,Severe,Low
Close to Stream,126,949,None,Low,Rocky,Moderate,Moderate,Frequent,Present,Severe,Rainy,Moderate,Severe,High
Very Close to Dam,82,551,Dense,Medium,Loamy,Moderate,Steep,Frequent,Absent,Moderate,Rainy,Strong,Severe,Medium
Far from Stream,290,911,Dense,Low,Sandy,Moderate,Moderate,Frequent,Present,Moderate,Dry,Moderate,Severe,Low
Very Close to River,36,755,Sparse,Low,Sandy,Good,Flat,Occasional,Present,Severe,Transition,Strong,None,Medium
Close to Dam,94,181,Moderate,Medium,Sandy,Poor,Steep,Rare,Absent,Severe,Transition,Strong,Severe,Low
Very Far from River,19,718,None,High,Sandy,Moderate,Steep,Frequent,Present,None,Rainy,Moderate,Moderate,Medium
Very Far from Lake,264,473,None,Medium,Loamy,Moderate,Flat,Rare,Present,None,Rainy,Moderate,None,Low
Close to Stream,159,277,Dense,High,Rocky,Poor,Moderate,Frequent,Present,None,Dry,Moderate,None,Low
Very Far from Stream,115,916,Dense,High,Rocky,Poor,Moderate,Frequent,Absent,Moderate,Rainy,Weak,None,Medium
Close to Lake,173,453,Sparse,Medium,Sandy,Moderate,Steep,Rare,Present,None,Rainy,Strong,None,Low
Close to Lagoon,128,572,None,Low,Loamy,Moderate,Flat,Frequent,Absent,Severe,Transition,Weak,Severe,High
Far from Stream,169,847,Dense,High,Rocky,Moderate,Moderate,Rare,Present,Moderate,Dry,Strong,None,Low
Far from Lake,300,207,None,Medium,Rocky,Good,Steep,Occasional,Absent,None,Transition,Strong,None,None
Close to Stream,217,187,Moderate,High,Clay,Poor,Flat,Rare,Present,Severe,Dry,Moderate,Moderate,Low
Close to Stream,13,499,None,Medium,Sandy,Moderate,Flat,Rare,Absent,Moderate,Transition,Strong,None,Medium
Very Far from River,205,519,None,High,Loamy,Good,Flat,Occasional,Present,Moderate,Dry,Moderate,Moderate,Low
Very Far from Lagoon,229,775,Moderate,High,Sandy,Good,Flat,Rare,Present,Moderate,Rainy,Weak,Severe,Medium
Very Close to River,57,363,Dense,Low,Sandy,Moderate,Moderate,Frequent,Present,None,Dry,Weak,Severe,Low
Moderately Close to River,22,79,None,Medium,Rocky,Good,Flat,Frequent,Present,Severe,Transition,Moderate,Severe,Medium
Very Far from River,10,559,None,High,Clay,Moderate,Steep,Occasional,Absent,None,Rainy,Strong,Moderate,Medium
Moderately Close to Stream,141,225,Moderate,Medium,Rocky,Good,Flat,Occasional,Present,Moderate,Transition,Moderate,Severe,Low
Moderately Close to River,80,532,Moderate,Medium,Clay,Moderate,Moderate,Rare,Absent,None,Rainy,Moderate,None,Low
